age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,salary
-0.01836354386292775,6,9,13,4,0,1,4,1,-0.0500832086530188,<=50K
0.7853233691130419,5,9,13,2,3,0,4,1,-2.170191412777514,<=50K
-0.09142599049710681,3,11,9,0,5,1,4,1,-0.0500832086530188,<=50K
1.0045107090155792,3,1,7,2,5,0,2,1,-0.0500832086530188,<=50K
-0.8220504568388974,3,9,13,2,9,5,2,0,-0.0500832086530188,<=50K
-0.16448843713128586,3,12,14,2,3,5,4,0,-0.0500832086530188,<=50K
0.7122609224788629,3,6,5,3,7,1,2,0,-1.9346238345414588,<=50K
0.9314482623814,5,11,9,2,3,0,4,1,0.3425294217404062,>50K
-0.6028631169363602,3,12,14,4,9,1,4,0,0.7351420521338312,>50K
0.20082379603960943,3,9,13,2,3,0,4,1,-0.0500832086530188,>50K
-0.16448843713128586,3,15,10,2,3,0,2,1,3.090817834494381,>50K
-0.6759255635705393,6,9,13,2,9,0,1,1,-0.0500832086530188,>50K
-1.1873626900097927,3,9,13,4,0,3,4,0,-0.8353084694398688,<=50K
-0.5298006703021811,3,7,12,4,11,1,2,1,0.7351420521338312,<=50K
0.05469890277125131,3,8,11,2,2,0,1,1,-0.0500832086530188,>50K
-0.38367577703382305,3,5,4,2,13,0,0,1,0.3425294217404062,<=50K
-1.0412377967414346,5,11,9,4,4,3,4,1,-0.4426958390464438,<=50K
-0.5298006703021811,3,11,9,4,6,4,4,1,-0.0500832086530188,<=50K
-0.09142599049710681,3,1,7,2,11,0,4,1,0.7351420521338312,<=50K
0.27388624267378847,5,12,14,0,3,4,4,0,0.3425294217404062,>50K
0.05469890277125131,3,10,16,2,9,0,4,1,1.5203673129206812,>50K
1.077573155649758,3,11,9,5,7,4,2,0,-1.6205337302267189,<=50K
-0.310613330399644,0,6,5,2,4,0,2,1,-0.0500832086530188,<=50K
0.27388624267378847,3,1,7,2,13,0,4,1,-0.0500832086530188,<=50K
1.4428853888206534,3,11,9,0,12,4,4,0,-0.0500832086530188,<=50K
1.2236980489181162,1,9,13,2,12,0,4,1,-0.0500832086530188,>50K
-1.479612476546509,3,11,9,4,2,3,4,1,-0.0500832086530188,<=50K
1.077573155649758,3,15,10,2,9,0,1,1,1.5203673129206812,>50K
-0.01836354386292775,3,11,9,0,3,1,4,1,3.090817834494381,<=50K
0.7122609224788629,3,11,9,2,2,0,4,1,-0.0500832086530188,<=50K
-1.1873626900097927,1,7,12,4,10,1,4,1,0.8921871042912012,<=50K
-1.40655002991233,3,15,10,4,11,3,2,1,0.2640068956617212,<=50K
0.4200111359421466,3,9,13,0,3,3,4,1,-0.0500832086530188,<=50K
-0.6759255635705393,0,15,10,2,0,3,4,1,-0.0500832086530188,<=50K
-1.2604251366439718,6,15,10,2,7,0,2,1,-2.013146360620144,<=50K
0.6391984758446838,3,1,7,4,6,4,4,1,-0.0500832086530188,<=50K
-1.3334875832781508,3,15,10,4,6,3,4,1,-0.0500832086530188,<=50K
-1.479612476546509,3,11,9,1,0,5,4,0,-1.2279210998332937,<=50K
-0.6028631169363602,3,15,10,2,11,0,4,1,-0.2071282608103888,>50K
0.6391984758446838,5,7,12,2,9,0,4,1,-0.0500832086530188,<=50K
-0.6028631169363602,3,6,5,2,6,0,4,1,0.18548436958303618,<=50K
1.0045107090155792,5,9,13,2,9,0,4,1,-0.0500832086530188,<=50K
-1.1143002433756137,3,9,13,2,12,0,4,1,0.7351420521338312,<=50K
0.7122609224788629,3,11,9,5,0,4,4,0,-0.0500832086530188,<=50K
-1.0412377967414346,3,11,9,4,5,1,4,1,-0.4426958390464438,<=50K
1.2967604955522953,0,9,13,2,9,0,2,1,-0.0500832086530188,>50K
1.0045107090155792,3,11,9,2,6,0,4,1,-0.2071282608103888,<=50K
0.3469486893079676,3,12,14,0,3,4,4,0,-0.0500832086530188,<=50K
0.12776134940543038,6,8,11,2,2,0,4,1,-0.0500832086530188,<=50K
-0.7489880102047184,3,8,11,4,9,1,4,1,0.18548436958303618,<=50K
-1.0412377967414346,3,15,10,2,3,5,3,0,-0.0500832086530188,<=50K
-1.552674923180688,3,11,9,4,7,3,4,0,-0.8353084694398688,<=50K
0.5661360292105048,3,14,15,2,9,5,4,0,1.5203673129206812,>50K
0.7853233691130419,0,9,13,0,3,1,4,1,1.1277546825272562,>50K
0.5661360292105048,4,11,9,0,3,1,4,1,1.5203673129206812,<=50K
0.27388624267378847,3,15,10,2,12,0,4,1,-0.0500832086530188,>50K
